ISO,href,group
dov,"https://130.60.24.118/gramfinder/p/africa/torrend_botatwe1967[1931].pdf,
https://130.60.24.118/gramfinder/p/africa/torrend_botatwe1967[1931]_o.pdf",M60
ilb,"https://130.60.24.118/gramfinder/p/africa/torrend_botatwe1967[1931].pdf,
https://130.60.24.118/gramfinder/p/africa/torrend_botatwe1967[1931]_o.pdf",M60
leh,"https://130.60.24.118/gramfinder/p/africa/torrend_botatwe1967[1931].pdf,
https://130.60.24.118/gramfinder/p/africa/torrend_botatwe1967[1931]_o.pdf",M60
mdt,"https://130.60.24.118/gramfinder/p/africa/biton_ndumu-dictionnaire1969_o.pdf,
https://130.60.24.118/gramfinder/p/africa/biton_ndumu-dictionnaire1969.pdf",B60
nmd,"https://130.60.24.118/gramfinder/p/africa/biton_ndumu-dictionnaire1969_o.pdf,
https://130.60.24.118/gramfinder/p/africa/biton_ndumu-dictionnaire1969.pdf",B60
